"","Player","PS","GP","Min","FGM","FGA","X3M","X3A","FTM","FTA","OR","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","EJ","FF","Sta","X...","OE","PER","AdjPER","Delta"
"289","j.anderson (phi)","SG",80,2307,309,717,115,351,77,106,59,300,150,74,106,28,154,0,810,0,0,0,62,-543,NA,10.92,12.0405513888609,1.12055138886086
"290","d.granger (ind)","SF",41,848,116,307,43,128,63,67,31,133,41,12,46,17,62,0,338,0,0,0,2,96,NA,10.9,11.4357200104741,0.535720010474053
"291","d.granger (lac)","SF",41,848,116,307,43,128,63,67,31,133,41,12,46,17,62,0,338,0,0,0,2,96,NA,10.9,11.4357200104741,0.535720010474053
"292","g.antetokounmpo (mil)","SG",77,1899,173,418,41,118,138,202,78,339,149,60,122,61,173,2,525,2,0,0,23,-177,NA,10.82,11.1253375495735,0.305337549573458
"293","k.hinrich (chi)","SG",73,2120,243,619,85,242,95,125,31,192,285,80,120,26,203,2,666,3,0,0,61,145,NA,10.8,11.3265348865726,0.526534886572644
"294","c.johnson (bos)","SF",40,790,85,214,43,127,37,43,31,97,32,27,22,4,63,0,250,0,0,0,0,12,NA,10.8,11.3947183399899,0.594718339989875
"295","d.motiejunas (hou)","PF",62,952,131,296,21,84,58,96,60,225,34,20,49,21,132,4,341,0,0,0,3,53,NA,10.76,11.6579976997122,0.897997699712182
"296","r.lewis (mia)","PF",60,975,98,236,46,134,26,33,24,110,57,53,35,8,90,0,268,1,0,0,6,53,NA,10.74,11.1353446261661,0.39534462616615
"297","m.dellavedova (cle)","SG",72,1276,122,296,57,154,38,48,30,124,186,34,60,5,121,0,339,1,0,0,4,72,NA,10.69,11.2185997897994,0.528599789799372
"298","u.haslem (mia)","PF",46,653,74,146,0,0,25,44,42,175,14,11,24,15,79,1,173,1,0,0,18,-67,NA,10.57,10.943502525758,0.373502525758042
"299","t.sefolosha (okc)","SG",61,1589,141,340,48,152,53,69,50,219,95,79,55,17,90,0,383,0,0,0,61,120,NA,10.42,11.1202129818351,0.700212981835113
"300","t.outlaw (sac)","SF",63,1068,130,326,41,117,42,52,36,168,48,20,26,19,94,0,343,0,0,0,4,-101,NA,10.42,10.8147481913933,0.394748191393258
"301","e.fournier (den)","SG",76,1502,228,544,89,237,93,123,34,202,114,34,100,7,179,1,638,1,0,0,4,12,NA,10.36,11.6078766239001,1.24787662390013
"302","a.goodwin (pho)","SG",52,533,76,167,5,36,37,55,25,87,20,20,44,11,45,0,194,0,0,0,0,-88,NA,10.34,10.5899150286979,0.249915028697938
"303","a.shved (min)","PG",63,667,76,237,30,102,68,90,21,81,68,26,48,16,36,0,250,0,0,0,0,-35,NA,10.27,11.347151584075,1.07715158407496
"304","i.mahinmi (ind)","C",77,1253,91,189,0,1,90,145,107,257,25,41,58,72,207,1,272,1,0,0,1,8,NA,10.18,10.5263542271492,0.346354227149243
"305","n.mohammed (chi)","C",80,562,54,126,0,0,16,30,66,175,20,14,37,30,77,0,124,1,0,0,1,-15,NA,10.18,10.6828901985587,0.502890198558717
"306","q.acy (sac)","SF",63,852,66,141,4,15,35,53,71,215,28,23,30,26,122,1,171,5,0,0,0,-134,NA,10.14,10.6201985269437,0.480198526943662
"307","p.jones (okc)","SF",62,767,83,181,22,61,28,42,28,114,26,14,21,19,62,0,216,0,0,0,7,54,NA,10.14,10.6259585519687,0.485958551968709
"308","d.fisher (okc)","PG",81,1430,141,361,88,229,55,71,12,122,117,70,49,3,157,0,425,4,0,0,0,237,NA,10.09,11.0020405509315,0.912040550931469
"309","c.hayes (tor)","PF",61,755,56,130,0,1,20,25,69,210,35,34,33,12,95,1,132,0,0,0,1,60,NA,10.04,10.7703204618517,0.730320461851655
"310","g.wallace (bos)","SF",58,1418,116,230,19,64,47,101,36,212,143,73,97,14,79,0,298,4,0,0,16,-172,NA,10.02,10.3431852992285,0.32318529922849
"311","a.nicholson (orl)","PF",76,1172,180,420,28,89,47,57,53,255,25,18,51,23,150,2,435,1,0,0,5,-153,NA,9.9,10.6657214793942,0.765721479394196
"312","h.barnes (gsw)","SF",78,2207,271,678,66,190,130,181,66,311,116,65,84,20,158,0,738,0,0,0,24,-51,NA,9.85,10.7305804813049,0.880580481304943
"313","g.stiemsma (nop)","C",55,1007,70,122,0,1,19,32,72,226,36,35,44,57,169,3,159,4,0,0,20,-171,NA,9.75,10.2403376090705,0.490337609070504
"314","a.harrington (was)","PF",34,513,82,207,34,100,27,35,15,80,28,14,34,0,72,0,225,0,0,0,0,46,NA,9.75,10.6591002504211,0.909100250421057
"315","r.mccallum (sac)","PG",45,898,113,300,22,59,32,43,18,79,120,22,39,9,69,0,280,0,0,0,10,-95,NA,9.74,10.1314705997305,0.391470599730511
"316","c.budinger (min)","SF",41,754,100,254,42,120,32,39,19,103,31,19,24,2,58,0,274,0,0,0,8,-1,NA,9.73,10.876540045321,1.14654004532095
"317","r.hummel (min)","SF",53,651,67,177,32,89,15,16,35,132,23,17,10,2,57,0,181,0,0,0,5,36,NA,9.67,10.9980223970599,1.32802239705991
"318","i.shumpert (nyk)","SG",74,1962,183,484,76,228,53,71,81,308,129,92,79,13,209,1,495,1,0,0,58,154,NA,9.66,10.0398805071193,0.379880507119266
"319","s.williams (lal)","SF",36,754,73,192,42,129,14,20,25,167,30,19,21,30,93,2,202,2,0,0,13,25,NA,9.51,10.9452672884244,1.4352672884244
"320","a.anderson (brk)","SG",78,1770,194,485,84,248,92,118,40,175,80,48,62,11,147,0,564,2,0,0,26,-52,NA,9.5,9.82943314142033,0.329433141420333
"321","h.thompson (phi)","SF",77,1742,171,372,67,167,52,73,73,247,73,53,60,12,144,0,461,0,0,0,41,-360,NA,9.5,10.526291874341,1.02629187434099
"322","k.caldwell-pope (det)","SG",80,1582,182,460,59,185,47,61,38,156,55,75,28,12,145,0,470,1,0,0,41,-60,NA,9.46,10.2158611050379,0.755861105037928
"323","d.arthur (den)","PF",69,1164,162,410,24,64,53,62,52,210,61,39,58,47,185,3,401,3,0,0,1,74,NA,9.41,10.8374664577732,1.42746645777319
"324","f.garcia (hou)","SG",55,1083,118,294,69,193,10,19,21,122,63,27,30,33,120,1,315,1,0,0,4,32,NA,9.37,10.1780187612133,0.808018761213299
"325","t.douglas (mia)","PG",51,677,73,190,31,102,25,34,18,86,68,19,34,5,81,0,202,0,0,0,17,-12,NA,9.2,9.81915246356278,0.619152463562779
