Player,PS,GP,Min,Pts,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER,PER,Var,,FGM_Weight,FGA_Weight,ThrPTM_Weight,FTM_Weight,Blk_Weight,OffReb_Weight,Ast_Weight,DefReb_Weight,Foul_Weight,FTA_Weight,Stl_Weight,TO_Weight,,,,,
m.webster (was),SF,78,2164,841,254,587,146,372,105,125,38,223,97,41,58,15,150,1,759,0,0,0,13,-12,0.499,11.56,11.90817426,0.348174265,,,,,,,,,,,,,,,,,,
r.gay (tor),SF,73,2532,951,537,1179,65,197,318,387,113,437,209,95,224,56,171,2,1457,3,0,0,73,-69,0.498,18.4,18.42104709,0.021047088,,,,,,,,,,,,,,,,,,
r.gay (sac),SF,73,2532,951,537,1179,65,197,318,387,113,437,209,95,224,56,171,2,1457,3,0,0,73,-69,0.498,18.4,18.42104709,0.021047088,,,,,,,,,,,,,,,,,,
d.derozan (tor),SG,79,3020,881,604,1407,64,210,519,630,51,343,313,86,176,28,197,0,1791,8,0,0,79,180,0.497,18.42,18.53458593,0.114585926,,,,,,,,,,,,,,,,,,
g.henderson (cha),SG,77,2461,691,403,930,40,115,235,309,31,310,198,51,113,32,159,0,1081,2,0,0,77,-70,0.497,13.13,13.45882127,0.328821268,,,,,,,,,,,,,,,,,,
j.meeks (lal),SG,77,2557,1091,413,892,162,404,221,258,30,194,138,111,111,4,119,0,1209,0,0,0,70,-509,0.496,14.75,16.19180184,1.441801842,,,,,,,,,,,,,,,,,,
a.gee (cle),SG,65,1021,210,98,237,19,59,43,61,35,149,47,39,44,15,96,0,258,0,0,0,24,-228,0.495,8.63,9.137419254,0.507419254,,,,,,,,,,,,,,,,,,
b.beal (was),SG,73,2529,1227,481,1149,138,343,149,189,54,273,245,71,128,18,153,0,1249,0,0,0,73,110,0.495,14.32,14.85818918,0.538189183,,,,,,,,,,,,,,,,,,
f.garcia (hou),SG,55,1083,433,118,294,69,193,10,19,21,122,63,27,30,33,120,1,315,1,0,0,4,32,0.495,9.37,10.10849118,0.738491183,,,,,,,,,,,,,,,,,,
a.morrow (nop),SG,76,1427,668,238,520,88,195,72,87,29,140,59,39,51,13,102,0,636,0,0,0,9,43,0.494,13.96,14.09190073,0.131900733,,,,,,,,,,,,,,,,,,
c.johnson (bos),SF,40,790,262,85,214,43,127,37,43,31,97,32,27,22,4,63,0,250,0,0,0,0,12,0.494,10.8,11.35881857,0.558818567,,,,,,,,,,,,,,,,,,
e.turner (phi),SG,81,2453,807,435,1022,50,156,213,262,62,408,261,67,189,7,195,3,1133,9,0,0,56,-375,0.494,12.43,13.62628717,1.196287175,,,,,,,,,,,,,,,,,,
e.turner (ind),SG,81,2453,807,435,1022,50,156,213,262,62,408,261,67,189,7,195,3,1133,9,0,0,56,-375,0.494,12.43,13.62628717,1.196287175,,,,,,,,,,,,,,,,,,
j.smith (nyk),SG,74,2423,1269,396,955,189,480,90,138,35,296,219,65,108,20,196,0,1071,2,0,0,37,-2,0.493,14,13.7808789,0.2191211,,,,,,,,,,,,,,,,,,
r.jefferson (uta),SF,82,2211,837,294,654,123,301,120,162,18,219,130,57,94,14,169,0,831,2,0,0,78,-413,0.493,11.88,11.94199467,0.061994669,,,,,,,,,,,,,,,,,,
d.garrett (uta),SG,71,1050,300,101,265,36,96,10,12,11,97,120,41,75,5,75,0,248,0,0,0,0,-116,0.492,7.1,7.457570685,0.357570685,,,,,,,,,,,,,,,,,,
p.pierce (brk),SF,75,2101,722,321,712,112,300,256,310,26,348,178,86,153,31,190,0,1010,6,0,0,68,71,0.491,16.81,16.93585165,0.125851648,,,,,,,,,,,,,,,,,,
d.schroder (atl),PG,49,641,145,72,188,10,42,29,43,5,60,93,17,61,0,54,0,183,0,0,0,0,-205,0.49,5.81,6.758314741,0.948314741,,,,,,,,,,,,,,,,,,
t.outlaw (sac),SF,63,1068,341,130,326,41,117,42,52,36,168,48,20,26,19,94,0,343,0,0,0,4,-101,0.489,10.42,10.75734157,0.337341573,,,,,,,,,,,,,,,,,,
d.green (sas),SG,69,1652,782,218,505,132,318,50,63,25,229,104,65,76,62,107,0,618,0,0,0,59,330,0.488,13.9,14.57176795,0.671767951,,,,,,,,,,,,,,,,,,
v.oladipo (orl),SG,80,2486,758,392,936,74,226,248,318,43,329,327,129,256,37,210,0,1106,2,0,0,44,-266,0.487,13.64,14.15478896,0.514788961,,,,,,,,,,,,,,,,,,
c.frye (pho),PF,82,2316,1074,336,778,160,432,78,95,73,416,98,60,89,63,245,1,910,2,0,0,82,298,0.487,13.26,13.67784992,0.417849917,,,,,,,,,,,,,,,,,,
j.smith (det),SF,77,2733,1084,517,1233,70,265,160,301,102,520,252,104,199,110,197,1,1264,10,0,0,76,-195,0.486,14.1,14.37641905,0.276419049,,,,,,,,,,,,,,,,,,
t.wroten (phi),PG,72,1765,601,345,808,40,188,209,326,69,228,217,78,204,16,151,1,939,2,0,0,16,-436,0.484,12.96,14.07545976,1.115459761,,,,,,,,,,,,,,,,,,
d.waiters (cle),SG,70,2073,975,430,992,92,249,161,235,31,194,211,63,154,17,153,0,1113,2,0,0,24,-54,0.483,14.1,14.41441667,0.314416668,,,,,,,,,,,,,,,,,,
d.williams (sac),PF,78,1816,304,206,481,26,99,186,259,71,323,56,48,76,20,114,0,624,0,0,0,15,-180,0.483,11.53,11.81274666,0.282746655,,,,,,,,,,,,,,,,,,
j.crawford (lac),SG,69,2093,1046,421,1011,161,446,279,322,34,158,223,59,135,12,120,0,1282,4,0,0,24,270,0.482,17.39,18.51588671,1.125886712,,,,,,,,,,,,,,,,,,
w.chandler (den),SG,62,1925,870,307,738,122,351,110,152,58,294,114,46,79,31,193,4,846,0,0,0,55,-173,0.482,12.48,13.66496686,1.184966857,,,,,,,,,,,,,,,,,,
k.thompson (gsw),SG,81,2867,1640,559,1259,223,535,147,185,38,249,181,75,135,37,234,2,1488,2,0,0,81,532,0.481,14.32,15.18859549,0.868595485,,,,,,,,,,,,,,,,,,
j.terry (brk),SG,35,570,217,55,152,39,103,10,15,4,37,56,13,27,0,48,0,159,1,0,0,0,-66,0.481,7.48,7.831541471,0.351541471,,,,,,,,,,,,,,,,,,
r.stuckey (det),PG,73,1949,572,372,853,24,88,244,292,39,169,152,54,125,10,131,1,1012,4,0,0,5,-159,0.48,14.04,14.41225695,0.372256953,,,,,,,,,,,,,,,,,,
m.teletovic (brk),PF,72,1399,806,221,529,136,349,44,62,60,266,57,29,54,23,143,0,622,2,0,0,7,-95,0.479,14.38,14.54422663,0.164226631,,,,,,,,,,,,,,,,,,
d.lamb (orl),SG,53,697,205,63,160,36,90,29,36,8,49,43,11,27,1,54,1,191,0,0,0,0,-2,0.477,7.51,7.871209351,0.361209351,,,,,,,,,,,,,,,,,,
p.george (ind),SG,80,2902,1297,576,1361,182,500,401,464,66,543,283,151,224,22,198,0,1735,8,0,0,80,375,0.477,20.16,20.39811887,0.238118874,,,,,,,,,,,,,,,,,,
h.barnes (gsw),SF,78,2207,610,271,678,66,190,130,181,66,311,116,65,84,20,158,0,738,0,0,0,24,-51,0.477,9.85,10.68910128,0.839101276,,,,,,,,,,,,,,,,,,
e.williams (phi),SG,67,1157,304,140,337,37,125,87,119,30,130,72,35,68,3,126,0,404,0,0,0,2,-366,0.474,8.71,9.800944673,1.090944673,,,,,,,,,,,,,,,,,,
k.bazemore (lal),SG,67,912,357,147,343,43,128,66,109,10,117,92,43,79,13,102,0,403,0,0,0,15,-251,0.474,11.28,12.68756225,1.407562247,,,,,,,,,,,,,,,,,,
d.wright (por),SF,68,981,377,111,296,69,202,52,69,29,191,64,23,39,16,62,0,343,0,0,0,13,54,0.473,11.98,12.76188665,0.781886649,,,,,,,,,,,,,,,,,,
s.williams (lal),SF,36,754,258,73,192,42,129,14,20,25,167,30,19,21,30,93,2,202,2,0,0,13,25,0.472,9.51,10.83937649,1.329376494,,,,,,,,,,,,,,,,,,
e.fournier (den),SG,76,1502,630,228,544,89,237,93,123,34,202,114,34,100,7,179,1,638,1,0,0,4,12,0.472,10.36,11.57544746,1.215447461,,,,,,,,,,,,,,,,,,
c.miles (cle),SG,51,987,541,178,409,83,211,64,75,18,103,52,46,44,15,103,0,503,0,0,0,34,45,0.472,16.03,16.49190758,0.461907581,,,,,,,,,,,,,,,,,,
k.caldwell-pope (det),SG,80,1582,494,182,460,59,185,47,61,38,156,55,75,28,12,145,0,470,1,0,0,41,-60,0.469,9.46,10.18950722,0.729507219,,,,,,,,,,,,,,,,,,
s.novak (tor),SF,54,545,270,60,146,52,122,6,6,8,58,13,12,5,4,44,0,178,0,0,0,1,72,0.468,11.1,11.29564213,0.195642133,,,,,,,,,,,,,,,,,,
d.arthur (den),PF,69,1164,343,162,410,24,64,53,62,52,210,61,39,58,47,185,3,401,3,0,0,1,74,0.468,9.41,10.73572572,1.325725724,,,,,,,,,,,,,,,,,,
a.anderson (brk),SG,78,1770,548,194,485,84,248,92,118,40,175,80,48,62,11,147,0,564,2,0,0,26,-52,0.467,9.5,9.795350569,0.295350569,,,,,,,,,,,,,,,,,,
a.goodwin (pho),SG,52,533,130,76,167,5,36,37,55,25,87,20,20,44,11,45,0,194,0,0,0,0,-88,0.466,10.34,10.54969697,0.209696969,,,,,,,,,,,,,,,,,,
a.bradley (bos),PG,60,1855,869,361,825,79,200,90,112,48,226,85,63,96,11,145,3,891,0,0,0,58,-127,0.466,12.8,13.34513244,0.545132443,,,,,,,,,,,,,,,,,,
g.green (pho),SG,82,2327,1313,448,1006,204,510,195,230,47,274,122,70,145,42,220,3,1295,9,0,0,48,44,0.465,16.55,16.77560993,0.225609934,,,,,,,,,,,,,,,,,,
a.nicholson (orl),PF,76,1172,397,180,420,28,89,47,57,53,255,25,18,51,23,150,2,435,1,0,0,5,-153,0.463,9.9,10.61677564,0.716775637,,,,,,,,,,,,,,,,,,
k.martin (min),SG,68,2174,922,440,1022,115,297,303,340,34,203,123,66,106,6,123,2,1298,3,0,0,68,176,0.463,16.37,17.77732635,1.407326351,,,,,,,,,,,,,,,,,,
t.hardaway (nyk),SG,81,1879,872,294,687,130,358,106,128,19,121,66,43,47,7,144,1,824,0,0,0,0,-168,0.461,12.79,12.52469273,0.265307273,,,,,,,,,,,,,,,,,,
o.mayo (mil),SG,52,1348,624,224,550,84,227,76,88,25,125,113,28,95,13,111,0,608,5,0,0,23,-357,0.46,11.27,11.64354736,0.373547355,,,,,,,,,,,,,,,,,,
t.snell (chi),SF,77,1235,398,129,336,57,178,31,41,19,124,68,29,44,15,84,0,346,0,0,0,12,-115,0.459,8.02,8.443284081,0.423284081,,,,,,,,,,,,,,,,,,
n.young (lal),SG,64,1818,944,387,889,135,350,235,285,29,166,95,47,95,12,156,2,1144,8,0,0,9,-84,0.459,16.11,17.77969858,1.669698582,,,,,,,,,,,,,,,,,,
x.henry (lal),SG,43,907,256,144,345,28,81,116,177,25,114,51,44,57,7,79,0,432,1,0,0,5,-38,0.456,12.36,13.83951382,1.479513825,,,,,,,,,,,,,,,,,,
c.martin (atl),SF,59,873,351,111,264,59,151,48,65,13,110,34,27,34,7,71,0,329,0,0,0,6,-126,0.455,11.05,11.99098778,0.940987777,,,,,,,,,,,,,,,,,,
c.martin (chi),SF,59,873,351,111,264,59,151,48,65,13,110,34,27,34,7,71,0,329,0,0,0,6,-126,0.455,11.05,11.99098778,0.940987777,,,,,,,,,,,,,,,,,,
g.neal (cha),PG,52,1113,496,193,471,68,180,94,105,10,90,83,18,64,0,65,0,548,1,0,0,3,-171,0.454,12.54,12.87815073,0.338150731,,,,,,,,,,,,,,,,,,
t.ross (tor),SG,81,2156,1037,318,751,161,408,82,98,43,253,79,64,88,27,183,4,879,1,0,0,62,132,0.454,12.09,12.42833307,0.338333071,,,,,,,,,,,,,,,,,,
m.thornton (sac),SG,72,1742,741,252,639,109,316,90,112,57,198,77,58,67,11,110,0,703,0,0,0,27,-32,0.453,12,12.22588801,0.225888014,,,,,,,,,,,,,,,,,,
m.thornton (brk),SG,72,1742,741,252,639,109,316,90,112,57,198,77,58,67,11,110,0,703,0,0,0,27,-32,0.453,12,12.22588801,0.225888014,,,,,,,,,,,,,,,,,,
c.budinger (min),SF,41,754,294,100,254,42,120,32,39,19,103,31,19,24,2,58,0,274,0,0,0,8,-1,0.452,9.73,10.84429179,1.114291788,,,,,,,,,,,,,,,,,,
j.hamilton (hou),SF,60,1019,464,147,375,70,197,40,51,32,194,52,44,47,20,67,0,404,1,0,0,12,-104,0.45,12.75,13.87328807,1.123288066,,,,,,,,,,,,,,,,,,
j.hamilton (den),C,8,74,22,9,20,3,9,5,5,4,7,0,5,4,0,8,0,26,0,0,0,0,-23,0.45,12.75,12.04346782,0.706532183,,,,,,,,,,,,,,,,,,
c.butler (okc),SF,56,1416,657,213,540,98,249,63,75,21,229,82,47,61,17,120,1,587,0,0,0,13,-152,0.446,12.24,12.91045527,0.67045527,,,,,,,,,,,,,,,,,,
w.green (lac),SG,55,870,299,102,271,41,121,28,34,12,78,50,22,34,11,96,0,273,0,0,0,9,82,0.443,7.13,8.171378766,1.041378766,,,,,,,,,,,,,,,,,,
a.randolph (den),PF,43,527,138,68,175,18,61,52,69,19,121,32,26,39,19,64,0,206,1,0,0,5,-114,0.441,12.23,13.60806967,1.378069669,,,,,,,,,,,,,,,,,,
j.green (bos),PF,82,2805,1086,482,1171,135,396,283,356,54,380,138,57,165,47,180,1,1382,0,0,0,82,-352,0.437,13.17,13.51951034,0.349510341,,,,,,,,,,,,,,,,,,
a.shved (min),PG,63,667,174,76,237,30,102,68,90,21,81,68,26,48,16,36,0,250,0,0,0,0,-35,0.434,10.27,11.22394574,0.953945743,,,,,,,,,,,,,,,,,,
a.harrington (was),PF,34,513,239,82,207,34,100,27,35,15,80,28,14,34,0,72,0,225,0,0,0,0,46,0.433,9.75,10.62653475,0.876534748,,,,,,,,,,,,,,,,,,
d.granger (ind),SF,41,848,298,116,307,43,128,63,67,31,133,41,12,46,17,62,0,338,0,0,0,2,96,0.433,10.9,11.3473487,0.447348697,,,,,,,,,,,,,,,,,,
d.granger (lac),SF,41,848,298,116,307,43,128,63,67,31,133,41,12,46,17,62,0,338,0,0,0,2,96,0.433,10.9,11.3473487,0.447348697,,,,,,,,,,,,,,,,,,
j.lucas (uta),PG,42,589,189,62,190,25,84,10,16,12,39,42,14,22,0,41,0,159,0,0,0,6,-168,0.43,5.23,5.673173571,0.443173571,,,,,,,,,,,,,,,,,,
b.mclemore (sac),SG,82,2185,680,255,679,95,297,115,143,53,235,83,45,96,18,201,1,720,2,0,0,55,-206,0.42,7.77,8.160202646,0.390202646,,,,,,,,,,,,,,,,,,
j.taylor (cha),SF,26,629,192,82,218,18,67,26,47,15,60,22,13,25,5,62,0,208,0,0,0,8,-75,0.416,5.97,6.550612398,0.580612398,,,,,,,,,,,,,,,,,,
q.miller (den),SF,52,788,239,94,256,30,94,39,55,36,147,26,22,48,32,70,0,257,0,0,0,16,-60,0.408,8.62,9.559101245,0.939101245,,,,,,,,,,,,,,,,,,
a.bennett (cle),PF,52,666,155,80,225,13,53,44,69,49,155,17,21,47,8,93,1,217,1,0,0,0,-83,0.404,6.95,7.718771207,0.768771207,,,,,,,,,,,,,,,,,,
e.clark (cle),SF,54,769,295,97,261,41,122,22,34,22,143,18,17,31,25,67,0,257,0,0,0,17,-136,0.399,9.09,9.53408921,0.44408921,,,,,,,,,,,,,,,,,,
