Player,OE,PER,PM,POS,Team
c.miles,0.472279261,16.03,2.188449848,SG,cle
k.caldwell-pope,0.469306931,9.46,-1.820480405,SG,det
a.anderson,0.466780239,9.5,-1.410169492,SG,brk
a.goodwin,0.466019417,10.34,-7.924953096,SG,pho
g.green,0.464926591,16.55,0.90760636,SG,pho
k.martin,0.462612983,16.37,3.885924563,SG,min
t.hardaway,0.460947503,12.79,-4.291644492,SG,nyk
o.mayo,0.459754434,11.27,-12.71216617,SG,mil
n.young,0.459047619,16.11,-2.217821782,SG,lal
x.henry,0.455607477,12.36,-2.011025358,SG,lal
t.ross,0.453714286,12.09,2.93877551,SG,tor
m.thornton,0.453168044,12,-0.881745121,SG,brk
m.thornton,0.453168044,12,-0.881745121,SG,sac
w.green,0.443148688,7.13,4.524137931,SG,lac
b.mclemore,0.419875776,7.77,-4.525400458,SG,sac
